slug,city,country,region,ridership_metric,ridership_vintage,population_basis,metric_known,denominator_consistent,vintage_comparable,usable_for_ratio
kolkata,Kolkata,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
dusseldorf,Düsseldorf,Germany,Europe,unknown,2024,demographia_built_up,false,true,true,true
warsaw,Warsaw,Poland,Europe,unknown,2024,demographia_built_up,false,true,true,true
lima,Lima,Peru,South America,unknown,2024,demographia_built_up,false,true,true,true
zurich,Zurich,Switzerland,Europe,unknown,2024,other,false,false,true,false
dresden,Dresden,Germany,Europe,unknown,2024,other,false,false,true,false
frankfurt,Frankfurt,Germany,Europe,unknown,2024,demographia_built_up,false,true,true,true
ankara,Ankara,Türkiye,Europe,unknown,2025,demographia_built_up,false,true,true,true
lisbon,Lisbon,Portugal,Europe,unknown,2019,demographia_built_up,false,true,false,false
guadalajara,Guadalajara,Mexico,North America,unknown,2024,demographia_built_up,false,true,true,true
leipzig,Leipzig,Germany,Europe,unknown,2024,other,false,false,true,false
stuttgart,Stuttgart,Germany,Europe,unknown,2024,other,false,false,true,false
hanover,Hanover,Germany,Europe,unknown,2024,other,false,false,true,false
nuremberg,Nuremberg,Germany,Europe,unknown,2024,other,false,false,true,false
rotterdam,Rotterdam,Netherlands,Europe,unknown,2025,demographia_built_up,false,true,true,true
kobe,Kobe,Japan,Asia,unknown,2024,demographia_built_up,false,true,true,true
vancouver,Vancouver,Canada,North America,unknown,2025,demographia_built_up,false,true,true,true
boston,Boston,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
bucharest,Bucharest,Romania,Europe,unknown,2023,demographia_built_up,false,true,true,true
washington,"Washington, DC",United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
chicago,Chicago,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
strasbourg,Strasbourg,France,Europe,unknown,2024,other,false,false,true,false
izmir,İzmir,Türkiye,Europe,unknown,2024,demographia_built_up,false,true,true,true
sofia,Sofia,Bulgaria,Europe,unknown,2024,other,false,false,true,false
kyoto,Kyoto,Japan,Asia,unknown,2024,other,false,false,true,false
copenhagen,Copenhagen,Denmark,Europe,unknown,2024,other,false,false,true,false
gothenburg,Gothenburg,Sweden,Europe,unknown,2024,other,false,false,true,false
helsinki,Helsinki,Finland,Europe,unknown,2024,other,false,false,true,false
zagreb,Zagreb,Croatia,Europe,unknown,2024,other,false,false,true,false
toulouse,Toulouse,France,Europe,unknown,2024,other,false,false,true,false
oslo,Oslo,Norway,Europe,unknown,2016,other,false,false,false,false
salvador,Salvador,Brazil,South America,unknown,2024,other,false,false,true,false
jinan,Jinan,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
panama-city,Panama City,Panama,North America,unknown,2025,other,false,false,true,false
tbilisi,Tbilisi,Georgia,Middle East & Central Asia,unknown,2017,other,false,false,false,false
basel,Basel,Switzerland,Europe,unknown,2024,other,false,false,true,false
chennai,Chennai,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
fuzhou,Fuzhou,China,Asia,unknown,2022,demographia_built_up,false,true,true,true
lille,Lille,France,Europe,unknown,2016,other,false,false,false,false
montpellier,Montpellier,France,Europe,unknown,2024,other,false,false,true,false
bursa,Bursa,Türkiye,Europe,unknown,2024,demographia_built_up,false,true,true,true
santo-domingo,Santo Domingo,Dominican Republic,North America,unknown,2023,demographia_built_up,false,true,true,true
recife,Recife,Brazil,South America,unknown,2018,demographia_built_up,false,true,false,false
bilbao,Bilbao,Spain,Europe,unknown,2024,other,false,false,true,false
monterrey,Monterrey,Mexico,North America,unknown,2025,demographia_built_up,false,true,true,true
bordeaux,Bordeaux,France,Europe,unknown,2018,other,false,false,false,false
calgary,Calgary,Canada,North America,unknown,2025,other,false,false,true,false
sendai,Sendai,Japan,Asia,unknown,2024,other,false,false,true,false
valencia,Valencia,Spain,Europe,unknown,2024,other,false,false,true,false
philadelphia,Philadelphia,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
the-hague,The Hague,Netherlands,Europe,unknown,2018,other,false,false,false,false
wuxi,Wuxi,China,Asia,unknown,2016,other,false,false,false,false
porto,Porto,Portugal,Europe,unknown,2023,demographia_built_up,false,true,true,true
manila,Manila,Philippines,Asia,unknown,2022,demographia_built_up,false,true,true,true
marseille,Marseille,France,Europe,unknown,2024,demographia_built_up,false,true,true,true
nantes,Nantes,France,Europe,unknown,2025,other,false,false,true,false
karlsruhe,Karlsruhe,Germany,Europe,unknown,2024,other,false,false,true,false
kaohsiung,Kaohsiung,Taiwan,Asia,unknown,2025,demographia_built_up,false,true,true,true
los-angeles,Los Angeles,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
amsterdam,Amsterdam,Netherlands,Europe,unknown,2015,demographia_built_up,false,true,false,false
lahore,Lahore,Pakistan,Asia,unknown,2023,demographia_built_up,false,true,true,true
